Contour Area,Mean,Blinking,Emotion,Music
,,,,
335,35.772636,0,5,1
,,,,
399,35.809677,1,5,1
,,,,
304,34.8883,0,3,1
,,,,
399,35.453632,1,3,1
,,,,
335,35.443687,1,5,1
,,,,
335,35.98147,0,5,1
,,,,
370,35.969654,1,5,1
,,,,
335,36.91075,0,3,1
,,,,
399,36.040936,0,5,1
,,,,
306,36.91963,1,5,1
,,,,
399,37.768818,1,5,1
,,,,
304,36.939728,0,5,1
,,,,
399,37.759907,0,5,1
,,,,
304,38.543987,0,5,1
,,,,
335,37.81477,1,5,1
,,,,
335,37.09142,1,5,1
,,,,
335,36.362873,1,3,1
,,,,
335,37.121067,0,3,1
,,,,
335,37.51405,0,3,1
,,,,
399,37.180138,0,3,1
,,,,
306,36.56985,1,3,1
,,,,
399,36.27013,1,3,1
,,,,
335,36.701775,1,1,1
,,,,
399,36.39246,0,3,1
,,,,
335,36.120968,1,3,1
,,,,
335,35.927197,0,3,1
,,,,
399,36.05837,0,5,1
,,,,
335,36.39719,1,3,1
,,,,
335,36.09488,0,3,1
,,,,
335,35.805996,1,3,1
,,,,
335,35.84436,1,3,1
,,,,
335,36.466694,1,3,1
,,,,
399,37.05996,0,3,1
,,,,
335,36.477013,0,3,1
,,,,
306,37.034286,1,3,1
,,,,
306,37.597294,1,5,1
,,,,
306,37.03454,0,3,1
,,,,
306,36.483345,0,3,1
,,,,
370,36.220116,1,5,1
,,,,
304,36.751587,0,5,1
,,,,
335,36.23109,1,5,1
,,,,
337,35.466904,1,5,1
,,,,
335,35.247715,1,5,1
,,,,
335,35.247715,0,5,1
,,,,
335,35.517426,1,5,1
,,,,
304,35.747852,0,5,1
,,,,
337,36.010384,0,5,1
,,,,
317,36.024178,1,5,1
,,,,
370,35.78263,0,3,1
,,,,
342.5,36.023846,0,5,1
,,,,
370,36.03868,0,5,1
,,,,
337,35.8063,1,3,1
,,,,
368,36.040924,1,5,1
,,,,
335,36.033855,0,3,1
,,,,
342.5,35.57887,1,3,1
,,,,
335,35.578934,1,3,1
,,,,
399,35.36132,0,3,1
,,,,
335,35.150173,1,3,1
,,,,
399,34.94899,0,3,1
,,,,
310,34.73056,1,3,1
,,,,
399,34.514843,1,3,1
,,,,
335,34.533752,0,3,1
,,,,
304,34.78087,1,3,1
,,,,
399,34.591927,1,3,1
,,,,
399,34.39206,1,3,1
,,,,
335,34.204082,0,3,1
,,,,
335,34.00644,0,3,1
,,,,
335,33.805218,1,3,1
,,,,
